square_feet,bedrooms,bathrooms,price
1400,3,2,245000
1600,3,2,270000
1700,3,2,295000
1875,4,2,310000
1100,2,1,185000
1550,3,2,265000
2350,4,3,400000
2450,4,3,420000
1425,3,2,250000
1700,3,2,295000
1950,4,2,335000
2100,4,3,370000
1380,3,1,240000
1220,2,1,210000
2600,5,3,450000
1350,3,2,230000
1750,3,2,310000
2000,4,2,350000
1250,2,1,200000
1800,3,2,320000
2429,3,4,423919
2371,5,4,383485
1878,5,2,297123
2157,4,3,361591
1357,3,1,248623
1708,4,2,296669
1264,3,2,245588
1257,3,1,191393
1284,1,1,191951
1863,4,2,312421
1583,4,3,281204
2524,5,3,423636
2003,4,2,359803
1603,3,1,323154
2161,4,3,402929
1264,3,3,236468
2431,5,2,435965
1320,2,2,233949
2258,3,4,428927
1785,4,3,330364
1040,3,1,193046
1532,4,3,283588
1098,2,2,191324
1700,4,2,317814
1141,3,2,190255
2589,5,2,441116
2301,3,3,388359
2392,5,2,393727
2436,5,3,432828
1644,3,1,284918
2043,4,3,381433
2439,3,2,393676
1702,4,2,328515
1386,2,1,241994
2151,5,4,369437
1504,2,2,273941
1711,3,3,327867
1750,2,1,306905
1629,3,3,267785
1428,4,2,238074
2159,4,4,388803
2033,5,1,354842
1115,2,1,186817
1393,2,1,229566
1542,4,3,260504
1746,4,1,310823
2331,3,4,400463
2050,5,2,369028
2393,4,2,410998
1651,2,2,336220
1159,3,2,185158
1746,4,2,314759
1774,2,2,336111
1711,3,1,309609
2027,4,2,357994
1788,2,1,281049
1140,3,2,220214
1475,4,3,256135
1277,2,1,211882
2376,5,3,421054
1327,4,1,239925
1396,4,1,220004
2157,3,3,402274
1723,2,1,321328
1695,2,3,339308
1415,4,1,246902
1366,3,1,247254
1703,3,2,307464
1626,4,2,292033
1753,2,1,327165
1288,2,2,246422
1649,2,1,283860
2306,3,2,384256
1263,2,2,210146
1565,4,3,257955
1829,3,2,308601
2037,3,1,359850
2107,3,4,356236
1395,3,2,253182
2401,3,3,431526
